id,CVE,CVSS
619,CVE-2013-4783,10.0
620,CVE-2013-4785,10.0
621,CVE-2013-6078,5.8
622,CVE-2013-7189,7.5
623,CVE-2013-7190,5.0
624,CVE-2013-7234,4.3
625,CVE-2013-7235,7.5
626,CVE-2014-0064,6.5
627,CVE-2014-0085,2.1
628,CVE-2014-1607,4.3
629,CVE-2014-3248,6.2
630,CVE-2014-4736,7.5
631,CVE-2014-5086,8.8
632,CVE-2014-5209,5.3
633,CVE-2014-5361,6.8
634,CVE-2014-5362,7.2
635,CVE-2014-6195,1.9
636,CVE-2014-6271,9.8
637,CVE-2014-7252,4.6
638,CVE-2014-8170,8.8
639,CVE-2014-9390,9.8
640,CVE-2014-9580,4.3
641,CVE-2014-9939,9.8
642,CVE-2015-1310,7.5
643,CVE-2015-1311,10.0
644,CVE-2015-1312,7.5
645,CVE-2015-1314,2.1
646,CVE-2015-1574,5.0
647,CVE-2015-2927,6.5
648,CVE-2015-4091,7.5
649,CVE-2015-4092,7.5
650,CVE-2015-4684,6.5
651,CVE-2015-4950,4.0
652,CVE-2015-6108,9.3
653,CVE-2015-6557,2.1
654,CVE-2015-7387,7.5
655,CVE-2015-7404,1.9
656,CVE-2015-8024,9.3
657,CVE-2015-8330,7.8
658,CVE-2015-9107,9.8
659,CVE-2015-9290,9.8
660,CVE-2016-0145,8.8
661,CVE-2016-0270,5.9
662,CVE-2016-0796,7.5
663,CVE-2016-0887,5.9
664,CVE-2016-10142,8.6
665,CVE-2016-10246,5.5
666,CVE-2016-10247,5.5
667,CVE-2016-10708,7.5
668,CVE-2016-10764,9.8
669,CVE-2016-10905,7.8
670,CVE-2016-10906,7.0
671,CVE-2016-10907,7.8
672,CVE-2016-1234,7.5
673,CVE-2016-1926,6.1
674,CVE-2016-2166,6.5
675,CVE-2016-2274,6.1
676,CVE-2016-3209,5.5
677,CVE-2016-3237,7.5
678,CVE-2016-3262,5.5
679,CVE-2016-3263,5.5
680,CVE-2016-3270,7.8
681,CVE-2016-3301,7.8
682,CVE-2016-3308,7.8
683,CVE-2016-3309,7.8
684,CVE-2016-3310,7.8
685,CVE-2016-3311,7.8
686,CVE-2016-3393,7.8
687,CVE-2016-3396,7.8
688,CVE-2016-3968,6.1
689,CVE-2016-4350,9.8
690,CVE-2016-5387,8.1
691,CVE-2016-5388,8.1
692,CVE-2016-5819,6.1
693,CVE-2016-6465,4.3
694,CVE-2016-6852,4.3
695,CVE-2016-6920,7.5
696,CVE-2016-7182,9.8
697,CVE-2016-7844,5.5
698,CVE-2016-7845,6.5
699,CVE-2016-7919,7.5
700,CVE-2016-9223,9.8
701,CVE-2017-0001,7.8
702,CVE-2017-0005,7.0
703,CVE-2017-0014,7.5
704,CVE-2017-0016,5.9
705,CVE-2017-0022,4.3
706,CVE-2017-0023,7.5
707,CVE-2017-0025,7.8
708,CVE-2017-0042,3.1
709,CVE-2017-0047,7.8
710,CVE-2017-0050,7.8
711,CVE-2017-0055,6.1
712,CVE-2017-0056,7.8
713,CVE-2017-0057,4.3
714,CVE-2017-0060,4.7
715,CVE-2017-0062,4.7
716,CVE-2017-0063,6.5
717,CVE-2017-0073,4.3
718,CVE-2017-0074,5.4
719,CVE-2017-0075,7.6
720,CVE-2017-0076,5.4
721,CVE-2017-0078,7.8
722,CVE-2017-0079,7.8
